,EH,GH,GL,HGKSP_seed0,HGKWL_seed0,MLG,MP,SP,VH,WL,WLOA
EH,0.0,0.8988244768780819,0.7265849075264563,0.6212837503708832,0.6716758268929172,0.731819658928748,0.6362787346171779,0.7230512737188635,0.45654803114005965,0.5581078598979895,0.5912259632366447
GH,0.8988244768780819,0.0,0.4495372790595815,0.5902962826907046,0.5406021730223095,0.42899105641663254,0.8956030913997485,0.4747785297483646,0.8875651694759598,0.8935572290433332,0.6528462636167116
GL,0.7265849075264563,0.4495372790595815,0.0,0.43471749297088036,0.3919324074204897,0.46280430083219126,0.760498467016121,0.349466634641197,0.7302937394916428,0.7306172909278438,0.48886078810913147
HGKSP_seed0,0.6212837503708832,0.5902962826907046,0.43471749297088036,0.0,0.18799892620484054,0.4434590333017788,0.4663421733048872,0.43519081057405656,0.5857156986026534,0.5588100654167314,0.31765827881939046
HGKWL_seed0,0.6716758268929172,0.5406021730223095,0.3919324074204897,0.18799892620484054,0.0,0.3434858781807649,0.49440637495231504,0.38514347881373895,0.6255040479251734,0.5803015103776651,0.33942099834692063
MLG,0.731819658928748,0.42899105641663254,0.46280430083219126,0.4434590333017788,0.3434858781807649,0.0,0.7072325755542055,0.3605719372112409,0.685667660398152,0.6606637749551408,0.41921245602384954
MP,0.6362787346171779,0.8956030913997485,0.760498467016121,0.4663421733048872,0.49440637495231504,0.7072325755542055,0.0,0.726850530539582,0.574662672902214,0.40193141839863233,0.49622193650479673
SP,0.7230512737188635,0.4747785297483646,0.349466634641197,0.43519081057405656,0.38514347881373895,0.3605719372112409,0.726850530539582,0.0,0.6609025530892804,0.6165449227856507,0.37736835412634046
VH,0.45654803114005965,0.8875651694759598,0.7302937394916428,0.5857156986026534,0.6255040479251734,0.685667660398152,0.574662672902214,0.6609025530892804,0.0,0.44726676745270355,0.4929412097150204
WL,0.5581078598979895,0.8935572290433332,0.7306172909278438,0.5588100654167314,0.5803015103776651,0.6606637749551408,0.40193141839863233,0.6165449227856507,0.44726676745270355,0.0,0.33261370219138986
WLOA,0.5912259632366447,0.6528462636167116,0.48886078810913147,0.31765827881939046,0.33942099834692063,0.41921245602384954,0.49622193650479673,0.37736835412634046,0.4929412097150204,0.33261370219138986,0.0
